participant	steering_method	speed_method	hit	coin	time	direction	distance	altitude	sharpness	missdistance	traveldistance
P12	LeaningMethod	ControllerDistanceMethod	TRUE	12	60.09985	Left	Long	Same	Smooth	0	7620.582
P12	LeaningMethod	ControllerDistanceMethod	TRUE	13	63.59985	Right	Medium	Down	Sharp	0	8026.438
P12	LeaningMethod	ControllerDistanceMethod	TRUE	14	65.58008	Right	Short	Down	Smooth	0	8225.857
P12	LeaningMethod	ControllerDistanceMethod	TRUE	15	69.52002	Straight	Long	Down	Sharp	0	8829.183
P13	ControllerMethod	ControllerDistanceMethod	FALSE	0	0	Straight	Short	Same	Default	9.332139	4002.421
P13	ControllerMethod	ControllerDistanceMethod	TRUE	1	8.419922	Straight	Medium	Up	Smooth	0	4400.233
P13	ControllerMethod	ControllerDistanceMethod	TRUE	2	10.47998	Straight	Short	Up	Sharp	0	4604.447
P13	ControllerMethod	ControllerDistanceMethod	TRUE	3	23.53992	Left	Long	Down	Default	0	5234.872
P13	ControllerMethod	ControllerDistanceMethod	TRUE	4	30.17993	Straight	Short	Same	Sharp	0	5439.865
P13	ControllerMethod	ControllerDistanceMethod	TRUE	5	38.41992	Right	Long	Up	Smooth	0	6048.096
P13	ControllerMethod	ControllerDistanceMethod	TRUE	6	43.57996	Straight	Medium	Same	Default	0	6456.45
P13	ControllerMethod	ControllerDistanceMethod	TRUE	7	47.05994	Left	Medium	Up	Sharp	0	6874.296
P13	ControllerMethod	ControllerDistanceMethod	TRUE	8	50.83997	Right	Short	Down	Sharp	0	7075.119
P13	ControllerMethod	ControllerDistanceMethod	TRUE	9	55.85999	Straight	Medium	Down	Sharp	0	7477.81
P13	ControllerMethod	ControllerDistanceMethod	TRUE	10	61.45996	Left	Short	Same	Smooth	0	7685.074
P13	ControllerMethod	ControllerDistanceMethod	TRUE	11	67.67993	Right	Long	Down	Default	0	8303.646
P13	ControllerMethod	ControllerDistanceMethod	TRUE	12	73.67993	Right	Long	Same	Smooth	0	8926.58
P13	ControllerMethod	ControllerDistanceMethod	TRUE	13	81.0199	Left	Medium	Down	Default	0	9355.78
P13	ControllerMethod	ControllerDistanceMethod	TRUE	14	83.77991	Left	Short	Same	Default	0	9563.261
P13	ControllerMethod	ControllerDistanceMethod	TRUE	15	90.05994	Right	Long	Up	Smooth	0	10185.55
P13	LeaningMethod	ControllerDistanceMethod	FALSE	0	0	Straight	Short	Same	Default	10.33639	4324.848
P13	LeaningMethod	ControllerDistanceMethod	FALSE	1	12.23999	Straight	Medium	Up	Smooth	10.77291	4994.614
P13	LeaningMethod	ControllerDistanceMethod	TRUE	2	21.35986	Left	Long	Same	Sharp	0	5547.094
P13	LeaningMethod	ControllerDistanceMethod	FALSE	3	27.59985	Left	Short	Down	Sharp	7.980326	5878.291
P13	LeaningMethod	ControllerDistanceMethod	FALSE	4	32.33984	Straight	Short	Up	Default	18.61246	6108.661
P13	LeaningMethod	ControllerDistanceMethod	TRUE	5	34.41992	Right	Short	Same	Default	0	6227.581
P13	LeaningMethod	ControllerDistanceMethod	TRUE	6	44.5	Right	Long	Down	Smooth	0	6845.368
P13	LeaningMethod	ControllerDistanceMethod	FALSE	7	51.25977	Straight	Medium	Same	Smooth	7.2171	7497.367
P13	LeaningMethod	ControllerDistanceMethod	TRUE	8	54.09985	Right	Short	Up	Smooth	0	7665.922
P13	LeaningMethod	ControllerDistanceMethod	FALSE	9	64.81982	Straight	Long	Same	Default	5.283963	8441.354
P13	LeaningMethod	ControllerDistanceMethod	FALSE	10	74.59985	Left	Medium	Up	Sharp	58.51253	8926.49
P13	LeaningMethod	ControllerDistanceMethod	FALSE	11	78.05981	Right	Short	Same	Sharp	39.05059	9173.521
P13	LeaningMethod	ControllerDistanceMethod	TRUE	12	82.91992	Right	Medium	Up	Default	0	9545.085
P13	LeaningMethod	ControllerDistanceMethod	FALSE	13	90.63989	Left	Long	Down	Smooth	6.187144	10267.23
P13	LeaningMethod	ControllerDistanceMethod	FALSE	14	94.83984	Left	Medium	Down	Sharp	9.131252	10696.5
P13	LeaningMethod	ControllerDistanceMethod	TRUE	15	101.1199	Straight	Long	Down	Default	0	11219.21
P13	ControllerMethod	LeaningMethod	FALSE	0	0	Straight	Short	Same	Default	9.126143	35.85247
P13	ControllerMethod	LeaningMethod	TRUE	1	57.84009	Straight	Medium	Up	Smooth	0	1344.783
P13	ControllerMethod	LeaningMethod	TRUE	2	60.8999	Straight	Short	Up	Default	0	1544.711
P13	ControllerMethod	LeaningMethod	TRUE	3	62.97998	Straight	Short	Same	Default	0	1748.023
P13	ControllerMethod	LeaningMethod	TRUE	4	70.28003	Right	Medium	Same	Sharp	0	2152.297
P13	ControllerMethod	LeaningMethod	FALSE	5	74.30005	Left	Short	Up	Sharp	2.352137	2443.591
P13	ControllerMethod	LeaningMethod	TRUE	6	80.32007	Right	Long	Same	Sharp	0	2959.438
P13	ControllerMethod	LeaningMethod	TRUE	7	82.02002	Left	Short	Up	Smooth	0	3167.734
P13	ControllerMethod	LeaningMethod	TRUE	8	86.19995	Left	Long	Down	Smooth	0	3783.462
P13	ControllerMethod	LeaningMethod	TRUE	9	91.78003	Straight	Long	Same	Smooth	0	4389.833
P13	ControllerMethod	LeaningMethod	TRUE	10	97.45996	Right	Medium	Down	Default	0	4787.321
P13	ControllerMethod	LeaningMethod	TRUE	11	104.4399	Right	Long	Down	Default	0	5409.518
P13	ControllerMethod	LeaningMethod	TRUE	12	106.78	Right	Short	Same	Smooth	0	5614.076
P13	ControllerMethod	LeaningMethod	FALSE	13	112.96	Straight	Medium	Up	Sharp	3.839286	6081.787
P13	ControllerMethod	LeaningMethod	TRUE	14	114.6001	Left	Medium	Down	Default	0	6388.631
P13	ControllerMethod	LeaningMethod	TRUE	15	118.0801	Left	Long	Down	Sharp	0	6994.101
P13	LeaningMethod	LeaningMethod	TRUE	0	0	Straight	Short	Same	Default	0	1937.61
P13	LeaningMethod	LeaningMethod	TRUE	1	14.02002	Straight	Medium	Up	Smooth	0	2365.393
P13	LeaningMethod	LeaningMethod	TRUE	2	21.8999	Straight	Long	Up	Smooth	0	2971.827
P13	LeaningMethod	LeaningMethod	TRUE	3	25.95996	Straight	Medium	Same	Default	0	3378.47
P13	LeaningMethod	LeaningMethod	TRUE	4	29.8999	Right	Medium	Same	Sharp	0	3782.835
P13	LeaningMethod	LeaningMethod	FALSE	5	37.78027	Left	Long	Up	Default	4.780886	4512.406
P13	LeaningMethod	LeaningMethod	TRUE	6	38.78027	Right	Short	Same	Default	0	4616.242
P13	LeaningMethod	LeaningMethod	TRUE	7	45.26025	Left	Long	Same	Sharp	0	5242.924
